State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
Qld,2019,Saturday,Pedestrian,No,No,No,100,Pedestrian,Female,36,Inner Regional Australia,26_to_39,Night
Tas,2019,Sunday,Single,No,No,No,80,Driver,Male,19,Outer Regional Australia,17_to_25,Day
WA,2019,Sunday,Multiple,No,No,Yes,110,Driver,Male,60,Very Remote Australia,40_to_64,Day
NSW,2019,Saturday,Multiple,No,No,No,60,Passenger,Female,20,Major Cities of Australia,17_to_25,Night
SA,2019,Sunday,Single,No,No,No,100,Driver,Male,47,Outer Regional Australia,40_to_64,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Driver,Male,58,Major Cities of Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,80,Driver,Male,47,Inner Regional Australia,40_to_64,Night
NSW,2019,Saturday,Single,No,No,No,100,Driver,Male,45,Inner Regional Australia,40_to_64,Day
WA,2019,Saturday,Single,No,No,No,110,Driver,Male,71,Inner Regional Australia,65_to_74,Day
NSW,2019,Saturday,Multiple,No,No,No,100,Passenger,Female,62,Outer Regional Australia,40_to_64,Day
Vic,2019,Saturday,Multiple,No,Yes,No,80,Driver,Male,29,Major Cities of Australia,26_to_39,Day
WA,2019,Saturday,Single,No,No,No,110,Passenger,Male,6,Very Remote Australia,0_to_16,Day
NSW,2019,Saturday,Single,No,No,No,100,Driver,Female,37,Outer Regional Australia,26_to_39,Day
NT,2019,Monday,Single,No,No,No,80,Driver,Male,18,Outer Regional Australia,17_to_25,Day
Qld,2019,Thursday,Single,No,Yes,No,100,Driver,Male,23,Remote Australia,17_to_25,Day
NT,2019,Tuesday,Single,No,No,No,110,Passenger,Male,23,Very Remote Australia,17_to_25,Day
SA,2019,Friday,Single,No,No,No,110,Driver,Male,24,Remote Australia,17_to_25,Day
NT,2019,Monday,Single,No,No,No,130,Passenger,Male,22,Remote Australia,17_to_25,Day
NT,2019,Monday,Single,No,No,No,130,Passenger,Male,20,Remote Australia,17_to_25,Day
NSW,2019,Saturday,Single,No,No,No,100,Driver,Male,30,Inner Regional Australia,26_to_39,Night
NT,2019,Monday,Single,No,No,No,130,Passenger,Male,27,Remote Australia,26_to_39,Day
NT,2019,Monday,Single,No,No,No,130,Driver,Male,26,Remote Australia,26_to_39,Day
NT,2019,Monday,Single,No,No,No,130,Passenger,Male,33,Remote Australia,26_to_39,Day
Vic,2019,Friday,Single,No,No,No,100,Driver,Female,37,Inner Regional Australia,26_to_39,Day
SA,2019,Friday,Single,No,No,No,100,Driver,Male,46,Inner Regional Australia,40_to_64,Day
SA,2019,Thursday,Multiple,No,Yes,No,60,Pedal cyclist,Male,59,Major Cities of Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,80,Driver,Male,23,Inner Regional Australia,17_to_25,Night
SA,2019,Friday,Single,No,No,No,50,Pedal cyclist,Male,38,Major Cities of Australia,26_to_39,Night
Tas,2019,Thursday,Single,No,No,No,60,Motorcycle rider,Male,51,Outer Regional Australia,40_to_64,Day
Qld,2019,Monday,Multiple,No,No,No,100,Motorcycle rider,Female,54,Outer Regional Australia,40_to_64,Day
Qld,2019,Tuesday,Single,No,No,No,80,Driver,Male,55,Outer Regional Australia,40_to_64,Day
WA,2019,Wednesday,Multiple,No,No,Yes,110,Driver,Male,64,Outer Regional Australia,40_to_64,Day
WA,2019,Thursday,Single,No,No,No,80,Passenger,Female,24,Inner Regional Australia,17_to_25,Night
SA,2019,Wednesday,Single,No,No,No,80,Driver,Male,62,Very Remote Australia,40_to_64,Day
WA,2019,Friday,Multiple,No,No,No,100,Driver,Male,40,Inner Regional Australia,40_to_64,Day
NSW,2019,Monday,Multiple,No,No,No,70,Motorcycle rider,Male,74,Major Cities of Australia,65_to_74,Day
Qld,2019,Tuesday,Single,No,No,No,60,Driver,Male,18,Outer Regional Australia,17_to_25,Night
Qld,2019,Tuesday,Single,No,No,No,60,Passenger,Female,17,Outer Regional Australia,17_to_25,Night
Qld,2019,Thursday,Single,No,No,No,100,Driver,Male,22,Very Remote Australia,17_to_25,Night
NSW,2019,Friday,Single,No,No,No,50,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Night
Vic,2019,Friday,Single,No,No,No,80,Driver,Male,67,Inner Regional Australia,65_to_74,Day
NSW,2019,Thursday,Multiple,No,No,No,50,Pedal cyclist,Male,49,Major Cities of Australia,40_to_64,Night
NSW,2019,Thursday,Multiple,No,No,No,50,Pedal cyclist,Male,40,Major Cities of Australia,40_to_64,Night
Vic,2019,Monday,Single,No,No,No,80,Driver,Male,62,Inner Regional Australia,40_to_64,Night
Qld,2019,Friday,Single,No,No,No,100,Driver,Male,75,Remote Australia,75_or_older,Day
Qld,2019,Friday,Single,No,No,No,100,Motorcycle rider,Male,58,Inner Regional Australia,40_to_64,Day
NSW,2019,Wednesday,Single,No,No,No,100,Driver,Male,75,Outer Regional Australia,75_or_older,Day
WA,2019,Friday,Multiple,No,No,No,100,Passenger,Female,76,Inner Regional Australia,75_or_older,Day
NSW,2019,Saturday,Single,No,No,No,50,Pedestrian,Male,41,Major Cities of Australia,40_to_64,Night
Vic,2019,Thursday,Single,No,No,No,60,Pedestrian,Female,66,Major Cities of Australia,65_to_74,Day
Vic,2019,Thursday,Single,No,No,No,50,Pedestrian,Male,77,Inner Regional Australia,75_or_older,Day
Qld,2019,Tuesday,Single,No,No,No,60,Pedestrian,Male,9,Inner Regional Australia,0_to_16,Day
Vic,2019,Friday,Single,No,No,No,60,Pedestrian,Male,53,Major Cities of Australia,40_to_64,Night
Vic,2019,Tuesday,Single,No,No,No,70,Driver,Male,41,Major Cities of Australia,40_to_64,Night
WA,2019,Wednesday,Single,No,No,No,110,Driver,Female,35,Outer Regional Australia,26_to_39,Night
NSW,2019,Wednesday,Multiple,No,No,No,80,Driver,Male,29,Major Cities of Australia,26_to_39,Night
NSW,2019,Monday,Single,No,No,No,60,Motorcycle rider,Male,28,Major Cities of Australia,26_to_39,Night
SA,2019,Thursday,Single,No,No,No,110,Driver,Male,18,Remote Australia,17_to_25,Night
NSW,2019,Wednesday,Multiple,No,No,No,80,Driver,Male,22,Major Cities of Australia,17_to_25,Night
WA,2019,Sunday,Single,No,No,No,110,Driver,Male,20,Outer Regional Australia,17_to_25,Day
SA,2019,Sunday,Single,No,No,No,100,Driver,Male,55,Very Remote Australia,40_to_64,Night
Vic,2019,Sunday,Single,No,No,No,60,Driver,Male,66,Inner Regional Australia,65_to_74,Day
SA,2019,Saturday,Single,No,No,No,70,Motorcycle rider,Male,16,Major Cities of Australia,0_to_16,Day
Qld,2019,Saturday,Single,No,No,No,100,Driver,Male,21,Outer Regional Australia,17_to_25,Day
NSW,2019,Saturday,Multiple,No,No,No,50,Driver,Male,90,Major Cities of Australia,75_or_older,Day
Vic,2019,Saturday,Multiple,No,No,Yes,60,Motorcycle rider,Male,44,Inner Regional Australia,40_to_64,Night
NSW,2019,Monday,Multiple,No,No,No,110,Driver,Male,24,Remote Australia,17_to_25,Day
NSW,2019,Saturday,Multiple,No,No,No,60,Motorcycle rider,Male,21,Major Cities of Australia,17_to_25,Night
SA,2019,Monday,Single,No,No,No,80,Driver,Male,31,Major Cities of Australia,26_to_39,Day
Qld,2019,Saturday,Multiple,No,Yes,No,100,Passenger,Female,12,Outer Regional Australia,0_to_16,Night
Qld,2019,Friday,Single,No,No,No,100,Driver,Male,20,Very Remote Australia,17_to_25,Night
Qld,2019,Saturday,Multiple,No,No,No,100,Driver,Male,20,Outer Regional Australia,17_to_25,Night
NSW,2019,Thursday,Multiple,No,No,No,70,Motorcycle rider,Male,60,Major Cities of Australia,40_to_64,Day
Vic,2019,Friday,Multiple,No,No,No,60,Motorcycle rider,Male,44,Major Cities of Australia,40_to_64,Day
Qld,2019,Monday,Multiple,No,No,No,60,Driver,Male,23,Major Cities of Australia,17_to_25,Night
NSW,2019,Tuesday,Single,No,No,Yes,110,Driver,Male,33,Inner Regional Australia,26_to_39,Night
NSW,2019,Friday,Multiple,No,No,No,100,Motorcycle rider,Male,71,Outer Regional Australia,65_to_74,Day
Qld,2019,Monday,Multiple,No,No,No,60,Driver,Male,59,Major Cities of Australia,40_to_64,Night
Qld,2019,Friday,Single,No,No,No,80,Driver,Male,41,Major Cities of Australia,40_to_64,Day
NSW,2019,Monday,Single,No,No,No,100,Driver,Female,26,Inner Regional Australia,26_to_39,Day
WA,2019,Wednesday,Single,No,No,No,70,Driver,Male,21,Major Cities of Australia,17_to_25,Day
WA,2019,Thursday,Single,No,No,No,80,Motorcycle rider,Male,53,Inner Regional Australia,40_to_64,Day
NSW,2019,Monday,Single,No,Yes,No,110,Driver,Male,77,Remote Australia,75_or_older,Day
Vic,2019,Wednesday,Multiple,No,No,No,100,Driver,Male,28,Major Cities of Australia,26_to_39,Day
WA,2019,Thursday,Pedestrian,No,No,No,60,Pedestrian,Female,65,Major Cities of Australia,65_to_74,Night
NSW,2019,Tuesday,Single,No,No,No,70,Pedestrian,Male,51,Major Cities of Australia,40_to_64,Night
NSW,2019,Thursday,Single,No,No,No,70,Pedestrian,Male,76,Major Cities of Australia,75_or_older,Day
Vic,2019,Thursday,Single,No,No,No,80,Pedestrian,Female,21,Inner Regional Australia,17_to_25,Night
WA,2019,Friday,Single,No,No,No,110,Driver,Male,37,Remote Australia,26_to_39,Night
SA,2019,Saturday,Multiple,No,No,No,60,Pedal cyclist,Female,32,Major Cities of Australia,26_to_39,Night
Vic,2019,Monday,Multiple,No,No,Yes,100,Driver,Male,38,Major Cities of Australia,26_to_39,Night
Qld,2019,Saturday,Single,No,No,No,80,Motorcycle rider,Male,22,Inner Regional Australia,17_to_25,Day
WA,2019,Saturday,Single,No,No,No,110,Passenger,Female,30,Very Remote Australia,26_to_39,Day
Qld,2019,Monday,Single,No,No,No,100,Driver,Male,18,Major Cities of Australia,17_to_25,Night
NSW,2019,Saturday,Multiple,No,No,No,80,Passenger,Male,41,Major Cities of Australia,40_to_64,Night
WA,2019,Sunday,Pedestrian,No,No,No,50,Pedestrian,Male,56,Major Cities of Australia,40_to_64,Night
NSW,2019,Saturday,Single,No,No,No,80,Motorcycle rider,Male,72,Outer Regional Australia,65_to_74,Day
NSW,2019,Saturday,Single,No,No,No,100,Driver,Male,34,Outer Regional Australia,26_to_39,Day
Qld,2019,Saturday,Single,No,No,No,40,Pedal cyclist,Male,56,Major Cities of Australia,40_to_64,Day
NSW,2019,Wednesday,Multiple,No,No,Yes,100,Passenger,Male,10,Major Cities of Australia,0_to_16,Day
Qld,2019,Sunday,Single,No,No,No,100,Driver,Male,73,Inner Regional Australia,65_to_74,Night
Vic,2019,Thursday,Multiple,No,Yes,No,80,Driver,Male,20,Inner Regional Australia,17_to_25,Day
NSW,2019,Tuesday,Multiple,No,No,No,100,Passenger,Female,24,Outer Regional Australia,17_to_25,Day
Vic,2019,Thursday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,17_to_25,Day
NSW,2019,Sunday,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,17_to_25,Night
Vic,2019,Wednesday,Multiple,No,No,No,60,Motorcycle rider,Male,39,Major Cities of Australia,26_to_39,Day
Qld,2019,Wednesday,Multiple,No,No,No,110,Motorcycle rider,Male,35,Major Cities of Australia,26_to_39,Day
Vic,2019,Thursday,Single,No,No,No,50,Passenger,Male,33,Major Cities of Australia,26_to_39,Day
NSW,2019,Wednesday,Multiple,No,No,No,60,Driver,Female,63,Major Cities of Australia,40_to_64,Day
Vic,2019,Monday,Multiple,No,No,No,100,Driver,Male,79,Inner Regional Australia,75_or_older,Night
SA,2019,Wednesday,Multiple,No,No,No,110,Pedal cyclist,Male,47,Inner Regional Australia,40_to_64,Day
Tas,2019,Friday,Multiple,No,No,No,100,Motorcycle rider,Female,56,Outer Regional Australia,40_to_64,Day
Vic,2019,Tuesday,Multiple,No,No,No,50,Driver,Female,63,Major Cities of Australia,40_to_64,Day
NSW,2019,Thursday,Single,No,Yes,No,100,Driver,Male,47,Major Cities of Australia,40_to_64,Day
Qld,2019,Tuesday,Single,No,No,No,100,Motorcycle rider,Male,62,Outer Regional Australia,40_to_64,Day
NSW,2019,Wednesday,Multiple,No,Yes,No,100,Driver,Female,54,Inner Regional Australia,40_to_64,Day
SA,2019,Tuesday,Single,No,No,No,80,Driver,Female,72,Inner Regional Australia,65_to_74,Day
Vic,2019,Friday,Single,No,No,No,100,Motorcycle rider,Male,71,Outer Regional Australia,65_to_74,Day
Qld,2019,Wednesday,Single,No,No,No,110,Passenger,Female,69,Outer Regional Australia,65_to_74,Day
NSW,2019,Friday,Multiple,No,No,No,100,Passenger,Male,74,Outer Regional Australia,65_to_74,Day
NSW,2019,Friday,Multiple,No,No,No,100,Driver,Male,72,Outer Regional Australia,65_to_74,Day
SA,2019,Thursday,Multiple,No,No,Yes,100,Driver,Female,72,Inner Regional Australia,65_to_74,Day
NSW,2019,Friday,Single,No,No,No,100,Driver,Male,63,Outer Regional Australia,40_to_64,Day
Vic,2019,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,33,Major Cities of Australia,26_to_39,Night
SA,2019,Friday,Multiple,No,No,No,100,Driver,Male,86,Outer Regional Australia,75_or_older,Day
Qld,2019,Tuesday,Single,No,No,No,60,Passenger,Female,8,Outer Regional Australia,0_to_16,Day
Vic,2019,Wednesday,Multiple,No,No,Yes,100,Driver,Male,85,Outer Regional Australia,75_or_older,Day
SA,2019,Wednesday,Multiple,No,No,No,80,Driver,Male,80,Major Cities of Australia,75_or_older,Day
SA,2019,Monday,Multiple,No,No,Yes,110,Driver,Male,78,Outer Regional Australia,75_or_older,Day
SA,2019,Wednesday,Single,No,No,No,60,Driver,Male,97,Major Cities of Australia,75_or_older,Day
SA,2019,Thursday,Multiple,No,No,Yes,100,Passenger,Male,82,Inner Regional Australia,75_or_older,Day
WA,2019,Thursday,Single,No,No,No,50,Driver,Male,88,Inner Regional Australia,75_or_older,Day
NSW,2019,Saturday,Single,No,No,No,80,Pedestrian,Male,62,Major Cities of Australia,40_to_64,Night
Vic,2019,Monday,Single,No,No,No,60,Driver,Male,29,Major Cities of Australia,26_to_39,Night
Vic,2019,Thursday,Single,No,No,No,100,Pedestrian,Male,54,Major Cities of Australia,40_to_64,Day
NSW,2019,Thursday,Single,No,No,No,40,Pedestrian,Male,80,Major Cities of Australia,75_or_older,Day
NSW,2019,Tuesday,Multiple,Yes,No,No,40,Pedestrian,Female,35,Major Cities of Australia,26_to_39,Day
WA,2019,Friday,Single,No,No,No,50,Passenger,Male,16,Major Cities of Australia,0_to_16,Night
WA,2019,Friday,Single,No,No,No,50,Passenger,Female,19,Major Cities of Australia,17_to_25,Night
Vic,2019,Sunday,Single,No,No,No,100,Driver,Male,35,Outer Regional Australia,26_to_39,Night
NSW,2019,Sunday,Single,No,No,No,50,Driver,Female,38,Outer Regional Australia,26_to_39,Day
Qld,2019,Sunday,Multiple,No,No,No,60,Motorcycle rider,Male,38,Major Cities of Australia,26_to_39,Day
Qld,2019,Sunday,Single,No,No,No,80,Driver,Male,36,Inner Regional Australia,26_to_39,Day
NSW,2019,Sunday,Multiple,No,No,No,70,Driver,Male,40,Major Cities of Australia,40_to_64,Night
NSW,2019,Saturday,Multiple,No,No,No,110,Driver,Male,63,Outer Regional Australia,40_to_64,Day
Qld,2019,Sunday,Single,No,No,No,80,Driver,Male,48,Inner Regional Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,100,Driver,Female,61,Inner Regional Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,100,Motorcycle rider,Male,59,Inner Regional Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,60,Motorcycle rider,Male,49,Major Cities of Australia,40_to_64,Day
NSW,2019,Sunday,Single,No,No,No,100,Motorcycle rider,Female,46,Outer Regional Australia,40_to_64,Day
Vic,2019,Sunday,Multiple,No,No,No,100,Driver,Male,25,Inner Regional Australia,17_to_25,Day
Vic,2019,Sunday,Multiple,No,No,No,100,Driver,Female,61,Inner Regional Australia,40_to_64,Day
Vic,2019,Sunday,Single,No,No,No,100,Driver,Female,29,Inner Regional Australia,26_to_39,Night
NSW,2019,Wednesday,Multiple,No,Yes,No,60,Motorcycle rider,Male,21,Major Cities of Australia,17_to_25,Day
Qld,2019,Tuesday,Multiple,No,No,No,80,Driver,Male,36,Major Cities of Australia,26_to_39,Day
Qld,2019,Tuesday,Multiple,No,No,No,80,Passenger,Male,32,Major Cities of Australia,26_to_39,Day
Qld,2019,Sunday,Multiple,No,No,No,100,Passenger,Female,16,Outer Regional Australia,0_to_16,Night
Qld,2019,Sunday,Multiple,No,No,No,100,Driver,Male,19,Outer Regional Australia,17_to_25,Night
WA,2019,Tuesday,Multiple,No,No,No,80,Passenger,Male,35,Inner Regional Australia,26_to_39,Day
ACT,2019,Monday,Multiple,No,No,No,50,Driver,Female,59,Major Cities of Australia,40_to_64,Day
Vic,2019,Tuesday,Multiple,No,Yes,No,100,Motorcycle rider,Male,64,Inner Regional Australia,40_to_64,Day
NSW,2019,Wednesday,Multiple,No,No,No,80,Driver,Male,51,Inner Regional Australia,40_to_64,Day
WA,2019,Thursday,Single,No,No,No,110,Driver,Male,47,Inner Regional Australia,40_to_64,Day
Qld,2019,Saturday,Single,No,No,No,80,Driver,Male,79,Outer Regional Australia,75_or_older,Night
Qld,2019,Wednesday,Multiple,No,No,No,100,Driver,Male,45,Remote Australia,40_to_64,Day
WA,2019,Tuesday,Multiple,No,No,No,80,Driver,Male,42,Inner Regional Australia,40_to_64,Day
Qld,2019,Tuesday,Multiple,No,No,No,60,Pedal cyclist,Male,5,Outer Regional Australia,0_to_16,Night
NSW,2019,Monday,Single,No,No,No,110,Passenger,Male,25,Inner Regional Australia,17_to_25,Night
WA,2019,Thursday,Single,No,Yes,No,110,Driver,Male,17,Inner Regional Australia,17_to_25,Day
NSW,2019,Monday,Single,No,No,No,50,Motorcycle rider,Male,23,Outer Regional Australia,17_to_25,Night
NSW,2019,Friday,Single,No,No,No,80,Driver,Male,67,Inner Regional Australia,65_to_74,Day
Vic,2019,Monday,Single,No,Yes,No,100,Driver,Male,65,Inner Regional Australia,65_to_74,Day
NSW,2019,Tuesday,Multiple,No,Yes,No,100,Pedal cyclist,Female,65,Inner Regional Australia,65_to_74,Day
NSW,2019,Tuesday,Single,No,No,No,80,Motorcycle rider,Male,69,Inner Regional Australia,65_to_74,Day
NSW,2019,Monday,Single,No,No,No,110,Driver,Male,29,Inner Regional Australia,26_to_39,Night
Vic,2019,Tuesday,Multiple,No,No,No,100,Driver,Male,35,Inner Regional Australia,26_to_39,Night
Qld,2019,Monday,Single,No,No,No,60,Driver,Male,32,Major Cities of Australia,26_to_39,Night
NSW,2019,Tuesday,Multiple,Yes,Yes,No,110,Driver,Male,36,Outer Regional Australia,26_to_39,Day
NSW,2019,Friday,Multiple,No,No,No,100,Driver,Male,59,Remote Australia,40_to_64,Day
WA,2019,Tuesday,Single,No,No,No,110,Passenger,Female,28,Very Remote Australia,26_to_39,Day
SA,2019,Friday,Single,No,No,No,100,Driver,Male,37,Inner Regional Australia,26_to_39,Day
Qld,2019,Tuesday,Multiple,No,Yes,No,100,Motorcycle rider,Male,35,Major Cities of Australia,26_to_39,Day
Vic,2019,Friday,Multiple,No,No,No,100,Driver,Male,76,Major Cities of Australia,75_or_older,Day
SA,2019,Thursday,Single,No,No,No,10,Driver,Female,80,Major Cities of Australia,75_or_older,Day
Qld,2019,Thursday,Single,No,No,No,100,Driver,Male,25,Remote Australia,17_to_25,Day
Vic,2019,Wednesday,Multiple,No,No,No,100,Driver,Female,20,Major Cities of Australia,17_to_25,Day
NSW,2019,Thursday,Multiple,No,Yes,No,80,Driver,Male,35,Major Cities of Australia,26_to_39,Day
NSW,2019,Tuesday,Multiple,No,Yes,No,80,Motorcycle rider,Male,55,Major Cities of Australia,40_to_64,Day
Vic,2019,Thursday,Single,No,No,No,60,Pedestrian,Male,36,Major Cities of Australia,26_to_39,Night
SA,2019,Saturday,Single,No,No,No,50,Pedestrian,Female,2,Inner Regional Australia,0_to_16,Day
SA,2019,Saturday,Single,No,No,No,80,Pedestrian,Female,59,Major Cities of Australia,40_to_64,Night
Vic,2019,Friday,Single,No,No,No,100,Driver,Male,27,Outer Regional Australia,26_to_39,Night
NSW,2019,Saturday,Single,No,No,No,70,Pedestrian,Male,31,Inner Regional Australia,26_to_39,Night
SA,2019,Saturday,Single,No,No,No,60,Pedestrian,Male,78,Major Cities of Australia,75_or_older,Night
Vic,2019,Sunday,Single,No,No,No,70,Pedestrian,Male,27,Major Cities of Australia,26_to_39,Night
Vic,2019,Monday,Single,No,No,No,100,Pedestrian,Male,57,Inner Regional Australia,40_to_64,Day
Vic,2019,Tuesday,Single,No,No,No,100,Motorcycle rider,Male,47,Inner Regional Australia,40_to_64,Night
SA,2019,Friday,Single,No,No,Yes,50,Pedestrian,Male,51,Inner Regional Australia,40_to_64,Night
NSW,2019,Thursday,Single,No,No,No,60,Pedestrian,Male,21,Major Cities of Australia,17_to_25,Day
NSW,2019,Wednesday,Single,No,No,No,50,Pedestrian,Female,81,Major Cities of Australia,75_or_older,Day
Qld,2019,Thursday,Single,No,No,No,60,Pedestrian,Male,86,Inner Regional Australia,75_or_older,Day
Vic,2019,Thursday,Multiple,No,No,No,100,Pedestrian,Female,64,Major Cities of Australia,40_to_64,Night
Qld,2019,Sunday,Single,No,No,No,50,Passenger,Male,15,Major Cities of Australia,0_to_16,Night
Qld,2019,Sunday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,17_to_25,Night
NT,2019,Thursday,Single,No,No,No,70,Driver,Male,24,Outer Regional Australia,17_to_25,Night
Qld,2019,Thursday,Single,No,No,No,60,Driver,Male,29,Major Cities of Australia,26_to_39,Night
Tas,2019,Friday,Multiple,No,No,Yes,50,Motorcycle rider,Male,24,Inner Regional Australia,17_to_25,Night
WA,2019,Thursday,Single,No,No,No,80,Driver,Male,49,Very Remote Australia,40_to_64,Night
SA,2019,Sunday,Multiple,No,No,No,50,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Night
Vic,2019,Sunday,Single,No,No,No,100,Driver,Male,27,Inner Regional Australia,26_to_39,Night
Tas,2019,Sunday,Multiple,No,No,No,50,Motorcycle rider,Male,30,Inner Regional Australia,26_to_39,Day
SA,2019,Saturday,Single,No,Yes,No,110,Driver,Male,36,Outer Regional Australia,26_to_39,Day
Vic,2019,Saturday,Single,No,No,No,60,Driver,Male,21,Inner Regional Australia,17_to_25,Night
Vic,2019,Sunday,Single,No,No,No,100,Motorcycle rider,Male,42,Outer Regional Australia,40_to_64,Day
Vic,2019,Sunday,Multiple,No,No,No,80,Motorcycle rider,Male,67,Major Cities of Australia,65_to_74,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Driver,Female,68,Inner Regional Australia,65_to_74,Day
Vic,2019,Sunday,Single,No,Yes,No,100,Passenger,Male,52,Inner Regional Australia,40_to_64,Night
NSW,2019,Sunday,Multiple,No,No,No,100,Motorcycle rider,Male,55,Inner Regional Australia,40_to_64,Day
Qld,2019,Saturday,Single,No,No,No,100,Passenger,Male,80,Outer Regional Australia,75_or_older,Day
Vic,2019,Wednesday,Single,No,No,No,100,Passenger,Male,25,Outer Regional Australia,17_to_25,Day
Qld,2019,Friday,Single,No,No,No,100,Passenger,Male,18,Outer Regional Australia,17_to_25,Night
Qld,2019,Saturday,Multiple,No,No,No,100,Driver,Male,60,Outer Regional Australia,40_to_64,Night
Qld,2019,Saturday,Multiple,No,No,No,100,Driver,Male,62,Outer Regional Australia,40_to_64,Night
NSW,2019,Tuesday,Multiple,Yes,No,No,80,Motorcycle rider,Male,28,Inner Regional Australia,26_to_39,Day
NSW,2019,Friday,Multiple,No,No,No,100,Driver,Female,32,Inner Regional Australia,26_to_39,Night
Vic,2019,Monday,Multiple,No,No,No,60,Driver,Female,64,Major Cities of Australia,40_to_64,Day
Qld,2019,Monday,Single,No,No,No,100,Motorcycle rider,Male,54,Outer Regional Australia,40_to_64,Day
NSW,2019,Tuesday,Single,No,No,No,100,Driver,Male,59,Outer Regional Australia,40_to_64,Day
Qld,2019,Wednesday,Multiple,No,No,No,50,Motorcycle rider,Male,51,Major Cities of Australia,40_to_64,Day
Vic,2019,Wednesday,Multiple,Yes,No,No,100,Passenger,Female,22,Inner Regional Australia,17_to_25,Night
Qld,2019,Tuesday,Multiple,No,Yes,No,100,Driver,Male,69,Inner Regional Australia,65_to_74,Day
WA,2019,Wednesday,Multiple,No,No,No,110,Motorcycle rider,Male,72,Major Cities of Australia,65_to_74,Day
Vic,2019,Thursday,Multiple,No,No,No,100,Passenger,Female,68,Major Cities of Australia,65_to_74,Day
Vic,2019,Thursday,Multiple,No,No,No,100,Driver,Male,69,Major Cities of Australia,65_to_74,Day
NSW,2019,Friday,Multiple,No,No,No,100,Motorcycle rider,Male,56,Outer Regional Australia,40_to_64,Day
NSW,2019,Wednesday,Single,No,No,No,110,Driver,Male,28,Major Cities of Australia,26_to_39,Night
NSW,2019,Thursday,Multiple,No,No,Yes,110,Driver,Male,42,Remote Australia,40_to_64,Night
Qld,2019,Friday,Multiple,No,No,No,60,Driver,Female,78,Major Cities of Australia,75_or_older,Day
Vic,2019,Saturday,Single,No,No,No,80,Pedestrian,Male,20,Inner Regional Australia,17_to_25,Night
Vic,2019,Sunday,Single,No,No,No,50,Driver,Male,19,Inner Regional Australia,17_to_25,Night
WA,2019,Wednesday,Multiple,No,No,No,60,Driver,Male,35,Major Cities of Australia,26_to_39,Night
NSW,2019,Wednesday,Multiple,No,No,Yes,100,Driver,Male,36,Outer Regional Australia,26_to_39,Night
Tas,2019,Thursday,Single,No,No,No,50,Driver,Female,49,Inner Regional Australia,40_to_64,Night
Qld,2019,Monday,Single,No,No,No,100,Motorcycle rider,Male,42,Inner Regional Australia,40_to_64,Night
NSW,2019,Sunday,Single,No,No,No,100,Driver,Male,51,Inner Regional Australia,40_to_64,Day
Qld,2019,Saturday,Multiple,No,No,No,100,Pedal cyclist,Male,62,Inner Regional Australia,40_to_64,Day
Qld,2019,Sunday,Multiple,No,No,No,100,Driver,Male,19,Inner Regional Australia,17_to_25,Day
Vic,2019,Saturday,Multiple,No,Yes,No,50,Driver,Male,68,Major Cities of Australia,65_to_74,Night
NSW,2019,Monday,Multiple,No,No,No,80,Driver,Female,34,Inner Regional Australia,26_to_39,Day
Qld,2019,Monday,Single,No,No,No,70,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Day
NSW,2019,Monday,Single,No,No,No,60,Driver,Male,43,Major Cities of Australia,40_to_64,Day
Qld,2019,Wednesday,Multiple,No,No,No,110,Motorcycle rider,Male,61,Remote Australia,40_to_64,Day
Qld,2019,Monday,Multiple,No,No,No,100,Driver,Male,34,Outer Regional Australia,26_to_39,Day
SA,2019,Wednesday,Single,No,No,No,110,Driver,Male,19,Outer Regional Australia,17_to_25,Night
NSW,2019,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,65,Outer Regional Australia,65_to_74,Day
WA,2019,Thursday,Single,No,No,No,100,Driver,Male,70,Outer Regional Australia,65_to_74,Day
WA,2019,Thursday,Multiple,No,No,No,110,Driver,Male,72,Inner Regional Australia,65_to_74,Day
Vic,2019,Wednesday,Multiple,No,No,Yes,100,Driver,Male,30,Outer Regional Australia,26_to_39,Night
Qld,2019,Friday,Single,No,No,No,80,Driver,Male,19,Major Cities of Australia,17_to_25,Day
Vic,2019,Wednesday,Single,No,No,No,100,Driver,Female,85,Inner Regional Australia,75_or_older,Day
NSW,2019,Wednesday,Single,No,No,No,110,Driver,Male,57,Very Remote Australia,40_to_64,Night
